; 女
;lkr 𡠰
;ll 奾
;ll; 𡢞
;ll; 孆
;llg 㛧
;llg 𡛢
;llg 媏
;lln 㜠
;lln 㜹
;lmh 𡟶
;lmm 嬍
;lnj 孈
;lnx 𡤬
;lny 𡣸
;lo 㛝
;loj 𡜴
;loj 𡝆
;loo 𡜃
;loq 𡤇
;lpe 𡠱
;lqq 𡡈
;lr 娊
;lri 𪦨
;lu 嫼
;lub 𡣫
;lxl 𡡻
;lxo 𡡆
;lzn 𡤢
;lzz 𡟠
;mah 𡤪
;mau 𡢒
;mbj 𡜲
;mbk 姝
;mbo 妷
;mbr 姺
;mc 姓
;md 𡛊
;mdh 娥
;me 奷
;me 𡛈
;me; 𡜘
;meb 娷
;mee 姘
;mek 㛼
;mem 𡣆
;men 㛼
;mer 𡟉
;meu 嫵
;mf 姀
;mf; 婑
;mfj 𡞈
;mfk 娳
;mfm 𡝟
;mfu 𡞊
;mfu 𡟊
;mgd 妖
;mgn 娇
;mgu 𡟡
;mh 㚪
;mhd 奼
;mhr 𡤝
;mi 姡
;mid 妰
;mil 𡟥
;miy 娫
;mji 𡟐
;mjj 嬌
;mjk 𡡧
;mjw 𡠻
;mkb 媑
;mkr 𡞪
;mmb 姩
;mnd 𡠞
;mo 𡛇
;moa 𡤷
;moz 𡟢
;mrh 𡜅
;mrl 㜺
;mrr 𡜞
;mua 𡛚
;mun 𩠶
;muy 𡤂
;mv 妊
;mvb 𡤊
;mvy 娗
;mw 姂
;mwx 䶯
;mwx 𡤞
;mxl 孂
;my 𡜥
;myl 𡟪
;mym 㛢
;mym 𡠨
;myw 𡟴
;mz 𡜊
;mzm 姊
;mzs 𡚸
;mzy 娒
;nao 嬩
;nao 㛹
;naz 𡞄
;nb; 𡞉
;nbe 㜒
;nbl 𡞭
;nbm 𡢝
;nbq 𡢶
;nbr 婗
;nbx 嫂
;nc 㛛
;ncl 𡢻
;nd 婣
;nf 𡜨
;nge 𡟷
;nhs 𡛲
;ni 婎
;niu 嫶
;niz 𡞲
;nj 媿
;nje 婢
;njf 媬
;njo 𡜧
;nk 𡛳
;nkc 媓
;nke 𡞌
;nkg 𡞃
;nkl 婂
;nkn 嬶
;nl 𡜍
;nlj 姠
;nlo 嬹
;nlt 媳
;nmv 姙
;nnx 孇
;nob 𡤒
;nor 媲
;nor 𡠌
;nou 𡤚
;npg 㜩
;nrf 𡠊
;nrl 𡤥
;nrp 𡟞
;nrt 𡠴
;nry 𡟧
;ns 㜃
;nsm 嬓
;nve 𡠖
;nxg 𡜬
;nxm 𡟑
;nzo 娰
;odb 𡝙
;odc 姾
;ogl 𡡾
;ogl 㛓
;oha 孅
;ojr 娧
;oko 㚷
;omf 𡝐
;omi 𡞆
;omq 㜫
;ond 妎
;oob 㛗
;ooi 㜡
;oor 𡞧
;opd 𡛧
;ory 𡛐
;osu 𡣊
;osx 妗
;ou 㛋
;ovv 𡚭
;ow 姈
;oxf 㜝
;oxj 娢
;oxu 𡣔
;oyd 妢
;oyl 𡟆
;ozs 妐
;ozy 𡟸
;paj 姤
;paj 姶
;pax 媛
;pay 𡜮
;pd 妡
;pda 㚱
;pdo 娦
;pds 𡛴
;pdy 㛂
;pej 𡝜
;pel 𡟈
;pfk 嬏
;pft 𡡁
;pja 𡡽
;pje 媕
;pjo 嬐
;pjy 嬆
;plb 㛵
;ple 婨
;plk 嬒
;pmu 嬀
;pof 𨣻
;ppl 㜱
;pqk 媮
;pqz 婾
;prs 𡠶
;ps 𡜁
;pv; 娞
;pvb 𡝇
;pvf 婇
;pvm 婬
;pvn 嫍
;pvy 娐
;pwm 𡡞
;pwr 嬡
;pwx 嫒
;pxl 𡡗
;pys 𡛣
;pyy 𡟦
;pyz 𡝦
;pzg 㜎
;qal 姵
;qd 𡚫
;qdf 㛊
;qdo 㚯
;qi 㜄
;qq 𡞇
;qqa 姗
;qs 𡛓
;qx 𡚾
;qya 𡚺
;qyf 𡜉
;qyp 𡛪
;ra 𡚨
;ra 𡚨
;ra 𡚧
;rak 𡜖
;rgm 𡞥
;rgs 㜬
;rgy 姽
;rh 𡚼
;rhj 𡜶
;rhk 婚
;rhs 𡛜
;rjr 娩
;rko 妳
;rky 𡞦
;rlg 㛟
;rlo 媍
;rmy 㚹
;rog 𡞵
;ror 嫓
;rot 𡝲
;rpc 㛔
;rpk 嬼
;rpk 𡞕
;rpm 𡜠
;rpt 㚵
;rr 妣
;rrm 嬎
;rrn 媘
;rrq 𡞂
;rrs 婏
;rrs 𡤎
;rrs 㜶
;rry 㛯
;rs 奺
;rs 𡚵
;rsj 姳
;rsm 嬔
;rsm 媱
;rsr 姼
;rsr 𧞡
;rsr 嬝
;rss 𡤹
;rst 𡟟
;rsu 㜣
;rsy 𡜙
;rv 𡜆
;rvv 𡠵
;rx; 𡝓
;rxb 㛀
;rxb 婙
;ry 㚿
;ryb 㚬
;ryj 姁
;ryk 媹
;ryk 姰
;ryo 𡛁
;rys 妁
;ryu 婅
;rz 𡡅
;rza 𡠄
;rzf 𡠿
;rzz 媰
;sc 妵
;scr 㜵
;sd 𡣙
;se 㛙
;ser 嬢
;sfl 𡤅
;shl 𡞙
;shn 𡜋
;sja 嬗
;sji 𡡍
;sjk 婛
;sjl 𡠀
;sjr 孃
;sjr 𡟓
;sjr 㜔
;sjw 𡣪
;sk 𡛻
;ske 嫜
;skh 嬂
;ski 𡜿
;skt 嬑
;slj 𡡿
;slr 㜳
;so 妏
;soe 𡝵
;soo 姣
;sq; 㜲
;sqd 妔
;sqm 𡡠
;srh 㛄
;su 𡛩
;su; 𡞘
;suf 媇
;suj 嫡
;suj 婄
;suk 㛺
;sur 𡣛
;sux 𡡫
;svv 𡚦
;svv 娮
;swa 婷
;swl 媂
;sws 嫎
;sxi 嫙
;sxo 娘
;sxy 嫏
;sy 妨
;sym 𡡬
;szk 㜅
;szo 姟
;szq 㛩
;szz 妶
;teu 嫬
;tf 嫲
;tf; 𡣥
;tfk 孊
;tg 㚧
;tgb 㛇
;tgt 𡣇
;tgu 嬚
;tgx 𡜾
;tlf 娴
;tlk 㛠
;tma 嫉
;tmy 𡟾
;tmz 嬷
;trj 𡟔
;trs 𡞖
;tx 㜙
;txj 㜍
;txk 嫝
;txl 嫞
;tz 㣽
;tz 𡚿
;tzm 妼
;tzz 嬤
;uae 姘
;uan 𡞝
;ub 姅
;ub; 𡟒
;ubl 𡡀
;uby 婘
;uc; 𡟜
;ucb 嫅
;ucg 媄
;ucl 𡡇
;ucr 㛨
;ucs 𡣌
;ucs 𡡂
;uf; 𡞱
;ufd 媨
;uff 𡢥
;ufw 㜆
;ugq 𡟝
;ugw 嬘
;ujr 娧
;uke 婵
;ukk 𡡝
;ulk 𡡑
;umh 嬟
;umo 𡝒
;uol 㜋
;uou 婒
;uqk 媊
;urm 嫾
;urz 𡠎
;uss 𡤮
;uuj 嫸
;uwf 嬫
;uwy 𡡯
;ux 嫌
;uym 娣
;uys 妫
;uyu 媯
;uzt 嬨
;uzz 𡞰
;vqf 媣
;vrd 姚
;vwr 𡤰
;vxf 𡡥
;vyt 𡣄
;w; 姲
;wak 𡡩
;wal 嬪
;way 𡝏
;waz 𡜷
;wbk 婃
;wbk 媗
;wbr 㛡
;wcj 𡟲
;wcl 𡤧
;wcs 𡝬
;wd 婝
;wel 𡣚
;weu 𡣤
;wf 𡜻
;wgk 𡣲
;wgq 嫁
;wgs 𡞬
;wgs 𡝢
;wjj 𡢠
;wki 婶
;wko 嫇
;wku 𡤠
;wla 嬣
;wlc 𡝮
;wle 媥
;wlu 𡤁
;wm 妒
;wmh 姹
;wnn 㜚
;woa 𡞛
;wog 𡡪
;woj 嫆
;wol 𡤐
;wos 𡞶
;wox 㛮
;wpk 嬸
;wpo 嫔
;wqo 𡢌
;wra 𡛥
;wrl 𡣑
;wrs 𡟰
;wry 婉
;wuf 㛽
;wux 㛮
;wvr 𡡃
;wwf 媈
;wwq 㚮
;wwr 妉
;wx 𡢘
;wxl 𡡮
;wxl 𡣕
;wxx 𡢷
;wy 婠
;wzo 𡡨
;xag 𡞳
;xau 𡞷
;xau 嬁
;xaz 𡝛
;xb 妇
;xbd 㜦
;xbk 𡝯
;xbk 𡝘
;xbk 娽
;xbw 𡠙
;xbx 婽
;xby 𡞹
;xce 𡣟
;xcm 㜟
;xcu 駑
;xd 媁
;xdm 𡠳
;xe 妞
;xeh 㜊
;xej 婮
;xf 嫻
;xfl 孄
;xg 𡛂
;xg 砮
;xgd 妜
;xgj 𡝗
;xhr 𡠣
;xi 𧉭
;xi 𡛡
;xii 𡛫
;xio 𪗭
;xiq 婿
;xis 𡠁
;xju 𡢡
;xk 𡢃
;xka 嫿
;xki 孎
;xkm 㜨
;xkq 𡟩
;xl 𥅄
;xlb 㛚
;xli 帑
;xlo 胬
;xmd 拏
;xmf 媃
;xmh 𣭄
;xmh 媉
;xmk 𪏷
;xml 𢂬
;xml 𡠟
;xml 媚
;xmm 娓
;xmr 妮
;xms 𡟭
;xms 𡛄
;xmx 𡜢
;xni 𨾯
;xol 𢃂
;xp 𨥬
;xp 奴
;xq 嫺
;xrb 𡌰
;xrn 𡣽
;xrz 鴑
;xso 𡢄
;xsr 𧘽
;xtz 怒
;xue 𡟛
;xul 嬧
;xwl 婦
;xwl 婦
;xx 妤
;xxf 𡠏
;xxx 娺
;xxz 驽
;xya 孥
;xyd 㐐
;xym 努
;xyz 弩
;xz 妈
;xz 䋈
;xze 𡢸
;xzz 𡤡
;ya 好
;yaj 㚸
;yaj 婀
;yal 𡝹
;yby 娜
;yde 㚨
;ydj 妱
;ygg 𡤟
;ygq 嫷
;yhk 㛰
;yi 她
;yii 𡡟
;yji 𡠤
;ylk 𥁨
;ym 奶
;ymf 㛆
;ymj 㚳
;yms 㚫
;ymy 㚺
;yox 𩛗
;yrz 𪀮
;yst 𡝖
;ysz 娹
;ysz 𡟂
;ytt 嫋
;ytz 恏
;yug 𡡦
;yv 妑
;yvc 𡝕
;yvv 邚
;yvv 㚶
;yxl 𡟚
;yy 妃
;yyb 𡚱
;yye 𡣝
;yyh 姄
;yyk 𡣁
;yyn 嬥
;yyo 𡢀
;yyp 嫪
;yyt 𡜱
;yzi 𡛅
;yzn 𡛯
;zai 媸
;zaz 𡜏
;zdb 𡜣
;zdl 𡜪
;zgp 𡞋
;zgs 𡟼
;zho 𡡤
;zib 𡝂
;ziz 𡛛
;zjm 𤯯
;zjt 𡢆
;zjx 𡞿
;zjy 㜉
;zjy 𠝔
;zkf 𡡊
;zmg 𡟇
;znl 嬵
;zno 㛴
;zo; 𡟘
;zor 㛖
;zpd 𡛆
;zqs 𡜫
;zrs 𡟅
;zs 𡤣
;zse 𡛞
;zsj 始
;zsk 𡜗
;zsm 㛌
;zsm 娭
;zso 姒
;zsq 姢
;zsr 𡤻
;zst 㜻
;zsy 𡤶
;zy 姆
;zze 𡠒
;zzf 㜰
;zzk 𡠐
;zzp 㜗
;zzy 𡛙
;zzz 𡣦
a 一
aa 丅
aaa α
aaaa 丽
aaaa ☵
aaam 𢮠
aaex 𢻨
aafg 𩔛
aafj 𢆞
aafr 𪄃
aage 𢌱
aage 𢌱
aai 亍
aaii 㱏
aaii 𤴕
aaix 𩐅
aajl 𧷩
aajs 𡂧
aakb 型
aaky 𨝶
aal; 𡡜
aamr 𠤜
aamy 𢁄
aaue 𢆛
aavv 𠄞
ab 干
abaa 㼛
abab 幵
abaf 栞
abag 𩒖
abak 𠛬
abal 𧵭
abal 㿼
abal 𥅝
aban 雃
abap 形
abar 鳽
abas 䶬
abat 麉
abax 𨴚
abay 𢏗
abay 郉
abeb 𤮻
abgo 顸
abgo 頇
abgq 𧰪
abgw 𨗶
abhl 𠕱
abkd 刊
ablk 㿻
abls 𧦸
ablz 𡐜
abmo 攼
abni 䧲
abrz 鳱
absa 𪚟
absi 𪚒
abul 覝
abuo 㶣
abw 迀
abxi 𤿊
aby 邗
abya 𢏘
abzi 𠙻
acck 𤳾
ad 于
adlk 盂
admo 㪀
adni 𨾌
adoo 𠂿
adw 迂
ady 邘
adyd 𠃗
aeas 㼛
aeer 𪂍
aefj 𢆚
aego 𩒖
aejy 𨚆
aekb 型
aekd 刑
aelk 㿼
aelr 䙹
aelu 䵤
aeni 雃
aepb 𡌑
aepd 形
aepd 𣂖
aero 㰢
aerz 鳽
aeuo 烎
aevv 开
aew 䢎
aexi 𤿐
aey 邢
aeyj 𠻸
aeyy 䍾
afa 𤣪
afgo 𩑷
afhz 𣚺
afii 𧖚
afjr 唜
afmo 𡘮
afpk 𣞄
afrz 𩿣
afsh 𠅍
afvv 末
afxi 𤿖
ag; 𡛌
agag 𡙎
agag 𡚌
agai 𡗣
agcj 𠷷
agcs 𤤋
agd 天
agdl 𠀛
ageo 𠔬
agfj 𡘸
aggf 𣓁
aggf 𣓢
aggi 蝅
agi 䘉
agi 𡗘
agi 蚕
agii 䗞
agj 吞
agjk 𩇺
agjn 𩳝
agka 䪞
agkc 䨿
agkc 𩇳
agki 𤰳
agkq 奣
agkv 沗
aglu 䵡
agq 𦙖
agqt 𢡰
agr 𡯊
agr 无
agrm 𣄳
agrp 𡕠
agrz 鴌
agtz 㤁
agu 忝
aguh 𢧏
aguo 𪸓
aguw 𡚑
agw 迗
agz 𡗙
ahb 㦱
ahbd 弐
ahia 𤭎
ahie 𣦏
ahii 虣
ahii 𢦰
ahii 武
ahil 䝾
ahir 鹉
ahir 鵡
ahk 𢦱
ahlo 貮
ahm 𢦌
ahs 𢍼
ahsr 𧛦
ahzo 𢎁
ai; 𡛵
aia 丁
aiah 𢧻
aiah 𢧖
aiai 𠧥
aiam 𥎨
aias 㼗
aiau 𤈂
aiau 焉
aibg 𣦥
aibo 𧹚
aicl 𧶷
aicm 𧟾
aicq 靕
aicw 𧟺
aid 下
aidz 丐
aigo 頂
aigo 頙
aigo 顶
aii 正
aii 𤴓
aiia 𠀝
aiia 𤰱
aiia 𣅯
aiil 𣦓
aiil 𧹁
aiip 𨪱
