;; 奻
;a 妍
bew 墆
bfe 壩
bfj 堙
bfl 堜
bfv 壖
bgb 垮
bgf 斄
bgk 釐
bgl 堧
bgm 壢
bgo 塽
bgy 翹
bha 堿
bhd 坉
bhj 域
bhk 堰
bhm 城
bia 巧
bid 坫
big 項
bih 墟
bil 貢
bim 攻
bio 巫
biq 恐
bjb 囍
bje 堌
bji 敼
bjj 壧
bjl 塤
bjo 塭
bju 喜
bjv 吉
bjy 劼
bki 坤
bkj 塿
bkl 堣
bko 垙
bkr 堨
bku 墣
bky 塌
bla 塏
blb 墿
blc 埧
blk 賣
bll 墔
blq 塴
blu 堈
bma 考
bme 埵
bmg 剺
bmi 埏
bmk 堹
bml 壎
bmr 老
bmu 垀
bnb 堄
bng 垘
bnk 堭
bns 墽
bnu 墺
bnx 堠
bny 刱
boa 赶
boc 趣
boe 趪
bof 鄻
boh 越
boi 赴
boj 嗇
bok 趙
bol 嫢
bom 螫
bon 趡
boo 替
bor 趨
bos 坅
bot 趑
bou 趥
box 赽
boy 起
boz 赳
bpa 垢
bpf 墦
bpq 堬
bpv 埰
bqd 垛
bqg 豰
bqm 馨
bqr 鷇
bqy 彀
brn 埳
brr 堍
brw 鼀
brx 埩
bry 均
brz 塢
bsk 境
bsl 壞
bso 埣
bsw 壕
bsx 埌
bsz 垓
btl 覟
bue 鼓
buf 墫
buh 壾
buj 熹
bul 增
bum 盩
buo 埮
bup 甏
but 懿
buu 墡
bux 鼘
buy 報
bvo 塉
bvr 垗
bwa 壹
bwb 垸
bwg 塚
bwi 壺
bwk 塓
bwm 垞
bwo 堔
bwr 坨
bwu 亄
bww 壼
bxa 墱
bxd 燾
bxk 墀
bxl 埇
bxm 堳
bxn 鼙
bxq 聲
bxr 鼛
bxw 埽
bxx 鼜
bxz 堀
bym 圾
byz 坲
bzk 戩
bzp 斲
bzt 惡
bzw 鼁
bzz 晉
cau 玶
cbd 玩
cbs 璈
cbx 珸
ccm 鬮
ccn 鬩
cco 琴
ccs 鬧
cct 瑟
ccv 玨
ccx 慧
cdv 球
cea 玴
ceg 耾
ceh 聝
cej 聖
cek 聘
cel 瑛
cem 聒
cen 聰
cer 聊
ces 職
cet 恥
ceu 耿
cev 弄
cew 聜
cex 聚
cfj 瑮
cfk 璉
cfs 璷
cfv 瓀
cga 琦
cgd 珛
cgi 珔
cgq 琢
chb 髻
chc 鬊
che 鬗
chf 鬆
chg 髮
chk 鬘
chl 髯
chm 髦
chn 髹
cho 髽
chp 鬚
chq 鬅
chr 髱
chs 鬤
chu 鬙
chw 鬃
chx 肆
chy 髫
chz 鬖
cib 豔
cic 彗
cid 玷
cii 玼
cik 琡
cil 責
cix 璨
cjj 璪
cjr 璐
cke 耤
ckg 耨
ckh 耟
cki 珅
ckm 耗
cko 瑣
cks 璟
cku 璞
ckw 璫
cla 環
cld 珊
cll 瑞
cmb 珠
cmd 珴
cme 聽
cmf 琍
cmi 瑀
cmv 珽
cmx 琁
cmy 琇
cna 璵
cni 璡
cob 奉
cog 琋
cok 泰
com 秦
con 玠
cot 惷
cox 琀
coy 玢
cpa 珨
cpf 璠
cpl 璯
cpq 瑜
cpv 琈
cpw 璦
cqa 珮
cqp 靜
cqv 玥
crl 瓊
cro 瑍
crp 珞
crx 琤
csj 瓖
csk 璋
csu 琣
csv 玊
csz 璃
ctx 瑭
ctz 珌
cua 馯
cub 驍
cud 班
cuf 騕
cug 騎
cuh 驅
cui 驉
cuj 驒
cul 騧
cum 驕
cun 馴
cuo 騣
cup 驗
cuq 颿
cur 駱
cus 駐
cut 驥
cuv 駣
cuw 騙
cux 騷
cuy 馳
cuz 駿
cvb 琺
cvr 珧
cwa 璸
cwf 璭
cwo 琛
cwv 迋
cww 琿
cxa 璒
cxe 琚
cxm 璚
cxs 瑵
cxu 璶
cyd 玿
cym 珈
cyr 觢
cyt 珝
cyy 璆
czh 璣
czk 璅
czl 纛
czn 瑙
czz 瓅
dag 掭
daj 搹
dak 挭
dal 攦
dao 扙
daw 擾
dax 捷
dba 拷
dbn 捇
dbr 搘
dbu 撻
dbx 捂
dcc 攝
dci 掅
dcm 揍
dco 捧
ddv 捄
dea 措
dee 撠
dej 擏
del 搆
den 擭
deq 撒
der 攃
dew 挬
dez 揲
dfj 摽
dfv 擂
dga 掎
dgd 拻
dgg 扼
dgk 掩
dgo 挾
dgu 撅
dgv 拓
dgx 拔
dgz 摦
dha 搣
dhd 扽
dhi 摵
dhj 撼
dhk 揠
dhl 攬
dhs 拭
dhv 挋
dih 據
dik 掉
dja 撌
djc 揖
djd 捆
djh 摑
djj 操
djo 搵
djv 扣
dki 抽
dkj 摟
dkk 擃
dkl 撇
dko 捎
dku 撲
dkv 抇
dkw 擋
dky 搨
dla 擐
dlb 擇
dle 捵
dlj 撾
dll 揣
dlz 擺
dmb 抶
dmf 揪
dmg 扷
dmh 托
dmj 撟
dmk 揰
dml 鼒
dmm 撬
dmp 撘
dmr 攢
dmv 才
dmx 擳
dmy 拖
dmz 挴
dnb 搜
dnj 捭
dnm 拰
dno 攪
dnr 摠
dns 撽
dnu 擙
dod 拴
dof 摋
doh 攕
doj 挩
don 扴
doo 挫
dop 抮
dos 扲
dov 扒
dox 捻
dpa 援
dpe 揗
dpl 掄
dpm 撝
dpq 揄
dpt 悊
dpu 焎
dpy 搬
dqv 抈
dra 指
drc 摓
drg 擔
dri 揝
drp 捀
drz 搗
dsk 撞
dsm 慦
dsn 掖
dsr 挔
dss 裘
dsv 摔
dsw 揨
dsz 擁
dtd 抖
dtf 攠
dti 掂
dtr 揹
dua 拼
duc 搓
duf 撙
dug 擲
duo 搤
duq 揃
dus 攁
duw 撈
duz 搠
dwa 擯
dwc 搳
dwg 捩
dwl 擰
dwm 搾
dwn 攛
dwo 控
dwr 擦
dww 揮
dwy 搧
dxa 揆
dxb 撏
dxf 攔
dxj 擗
dxk 摨
dxl 捅
dxm 握
dxp 扠
dxr 擱
dxs 搔
dxu 摒
dxv 捫
dxw 掃
dxy 撥
dxz 掘
dyb 挪
dyd 招
dyg 撱
dyt 搦
dyy 撰
dyz 拂
dzd 拶
dzg 攭
dzi 拙
dzk 摷
dzo 捘
dzs 抬
dzv 扎
dzz 摻
e;; 葌
e;e 菇
e;g 薅
eab 鷨
eae 華
eag 菾
eaq 散
ear 葬
eat 燕
eau 苹
eaw 帶
eax 萋
ebd 芸
ebi 茿
ebk 蒜
ebl 藚
ebq 蒆
ebs 蘾
ebt 斠
ebu 蓻
ebv 芏
ebw 薹
ebx 薵
ebz 蓋
ecc 蔧
ecj 蘁
eck 薑
ecp 斯
ecr 欺
ect 惎
ecx 藂
ecy 懃
edb 荴
edf 蒱
edg 菝
edk 菗
edl 蘀
edm 葀
edn 蓷
edr 菢
eds 菈
edv 莍
eea 靺
eeb 鞋
eed 鞡
eee 鞳
eef 韆
eeg 靰
eek 鞘
eem 乾
een 鞭
eeo 幹
eep 鞥
eer 鞠
ees 鞹
eeu 靽
eev 卉
eew 鞍
eey 勒
efh 藲
efn 蘸
efo 萊
efp 菥
efq 蘻
efr 藗
efv 蕾
egb 荂
egd 若
egg 藞
egh 蓐
egk 菴
egm 藶
egn 蒝
ego 莢
egq 藸
egs 莽
egu 蕨
egx 茇
eha 葳
ehd 莖
ehh 臷
ehk 戴
ehl 蕆
ehn 截
ehq 蘙
ehv 茞
ehz 藏
eid 苫
eig 蘧
eih 薉
eik 蘋
eiv 茧
eja 蕢
ejb 菋
eje 蘄
ejg 虈
ejh 蔮
ejn 觀
ejo 難
eju 蔨
ejv 古
ek; 藪
ekb 蒔
ekj 蔞
ekm 虌
eko 茪
eku 薱
ekz 邁
elh 蔑
elk 薯
ell 蘡
elo 顛
els 藅
elv 苜
elx 藈
ely 翸
elz 蘿
ema 薙
emb 茱
emd 莪
emf 莉
emg 芺
emi 萭
emj 蕎
eml 薰
emm 蘩
emo 藜
ems 孽
emv 莛
emx 蒛
ena 荷
enc 蒨
end 苻
eng 茯
enh 茷
enk 葩
enl 蒠
enp 蘤
ens 蓓
enx 葔
enz 葰
eob 蓌
eod 荃
eog 莃
eok 苶
eoo 葅
eor 蘅
eos 芩
eot 斡
eoz 蓊
epa 茩
epj 蘥
epl 菕
epn 藐
epo 蘞
eps 蓏
epv 菜
epw 蕣
epy 蒰
eqb 藝
eqq 蒯
eqr 葋
era 蔔
erc 蓬
ere 兢
erg 薝
erk 薊
erl 藑
erp 苳
ers 蔡
esf 薪
esg 藙
esk 薏
esl 藃
esm 葹
esq 苀
esw 蒂
esx 莨
esz 蓄
eta 薦
etd 茨
ete 蓆
etn 藱
ett 蕊
eua 荓
eub 菤
euc 蒫
