#lkb 瞠
#lkf 髁
#lkl 帽
lkm 眇
#lkq 峭
#lkr 崑
lkt 崽
lkw 遝
#ll; 嬰
llm 罌
lln 瞿
#lmh 峨
lmo 帙
lmu 瞅
#lmw 貶
lmy 屹
lne 髀
lnr 睨
lnu 瞧
lob 賒
loj 冏
#loo 肉
#loy 盼
lpf 睬
lpj 峇
lpk 幡
lpr 嶔
lpx 販
lqq 崩
lrc 峰
lri 蜀
lrj 骼
#lrk 峋
#lrr 黟
lsj 賠
#lsk 罰
lsq 骯
#lub 嵯
lul 岡
lun 罹
lus 罔
luw 瞇
lvr 眺
lwa 貯
lwb 崇
lwr 眈
lxh 幄
lxl 嵋
lyh 眠
lzj 貽
lzm 眸
lzn 羅
#lzz 黜
m;n 魏
m;w 逶
#maa 筓
mac 拜
#maf 秣
mau 秤
#mbd 特
mbq 筑
mby 笻
#mcl 積
#mcq 氰
mde 箝
#meb 垂
#mej 牯
mel 稙
meu 無
#mex 簸
#mfa 缽
#mff 篥
#mfl 策
mft 穗
#mfy 範
#mgl 嵇
#mhb 氫
mhh 箋
mhr 鵝
#mhx 矩
mil 禹
mit 怎
#miy 卸
#mjc 程
mjk 智
mjr 鵠
mjw 造
mk; 簍
#mka 稈
#mkb 重
mkf 梨
mkm 秒
#mkq 稍
mky 甥
mlg 衆
#mlk 制
mm; 矮
mmg 笑
#mmi 笮
mmm 犇
mmo 秩
#mmw 龝
#mmy 筳
mnc 篁
#mnd 符
mne 稗
mnh 筏
mnt 憩
moc 筌
mok 黍
#mow 迭
moy 氛
mpj 答
mpn 稻
mpx 箏
mqy 筋
mrg 頹
#mrk 筍
#mro 物
#mrr 移
mrs 牴
mrt 氡
msm 簇
mte 科
mtm 秘
mtr 乘
mtu 簾
mur 鶖
mut 愁
muu 氮
mvn 箔
mw; 氨
mwb 箜
mwg 稼
#mxg 缺
#mxk 氯
mxn 簫
mxy 節
myj 笳
myl 帥
#mym 秀
myn 氟
mzg 篆
#mzj 笞
mzm 敏
#naj 何
nan 佰
nao 仗
#nbd 侍
#nbo 伕
nbq 毀
#nbr 佬
nbu 倖
nbx 伍
#nbz 佉
ncb 俸
#nck 傣
ncl 債
ncq 段
#ncw 遑
nek 借
#nel 值
neo 供
ner 鵯
nex 伎
nfd 傳
nfg 儒
nfl 價
nfo 輿
ngb 佐
nge 皋
ngj 佑
#ngl 佈
ngq 侑
ngs 伏
nhk 倒
nhl 貸
#nij 佔
nil 偵
nim 攸
njn 侶
nk; 僂
nkh 偎
#nkk 儅
nkl 償
nkq 俏
nkr 偈
nkt 偲
#nku 僕
#nky 舅
nlb 佣
#nlk 側
nln 催
nlo 興
#nm; 倭
#nme 仵
#nmh 俄
#nmi 作
nmj 皓
nmk 俐
nml 賃
nmo 佚
nmt 恁
#nmz 侮
#nne 牌
nnr 倪
nns 讐
#nnx 雙
noc 佺
nos 囪
noy 份
npg 奧
npj 佮
npk 皤
npx 版
#npy 俘
nqf 躲
nql 佩
nrg 傾
#nrj 佝
#nrk 你
nrl 貨
nrm 傜
nrn 偕
#nrr 侈
#nrs 的
nrt 佟
#nry 仰
nsb 儲
nsj 倍
nsm 倣
nsn 讎
nsq 伉
nsr 依
nte 魁
nue 併
nur 鷦
nuy 倦
nvr 佻
#nwa 佇
nwb 倥
#nwf 牖
nwg 傢
nwn 僱
nwq 伔
nwr 佗
nxm 侯
nxy 健
nyj 伽
nyn 佛
nys 仞
nzk 鼬
nzm 俟
nzo 似
oai 征
obd 待
ofq 殺
ogl 希
ogq 肴
ohb 徑
ohh 餞
ohz 飩
#oii 徙
ojj 徊
ojr 兌
okh 餵
okr 餛
#oli 衕
#omf 舖
omg 飫
omh 餓
omk 畬
oml 飾
omm 敘
omx 舒
#omy 飭
onc 徨
onj 餉
onx 餿
ool 俎
oom 餘
#oop 斧
#ooy 爸
op; 餒
opx 飯
#ork 徇
orn 餡
osc 往
#oue 餅
owg 領
owj 倉
owr 鴒
#owy 館
#oxi 衛
oyg 頒
#oyl 貧
oyn 彿
oyt 忿
oza 瓮
ozg 頌
#ozj 飴
ozr 兇
#pai 鉦
#paj 后
pan 貊
pay 卮
pbo 鈇
pbr 銠
pbt 鋕
pcr 錶
#pdi 虢
#pdm 豺
pek 錯
pel 盾
#pfb 鏢
#pfk 鐳
pfl 鍊
pfp 彩
pfw 鏈
pgl 鈽
pgs 鈦
phh 錢
phz 鈍
piw 遞
pjg 頜
#pji 舯
pjl 盒
pjm 拿
pjr 鴿
pjs 龕
pjy 命
#pk; 鏤
#pka 銲
#pkb 鏜
pkg 銧
#pkk 鐺
#pkl 鎖
pkm 鈔
#pkq 銷
pkr 錕
pky 鄱
pkz 鏍
ple 侖
plk 會
#plo 鈉
ply 鋤
#pmi 舴
pmk 銖
pmo 瓞
pmr 銑
pmu 鍬
#pmy 艇
#pnf 鎳
pnl 錦
pnr 貌
#pnx 艘
poc 銓
ppl 質
ppx 鈑
#pqf 槃
pqg 磐
pqj 船
#pqk 俞
pql 盤
prb 鈞
prc 鋒
prj 銘
#prs 釣
prx 錚
psm 鏃
#psq 航
psx 鋃
ptm 鉍
ptu 鑣
pue 鉼
pug 鎂
pun 艏
pwr 舵
#pwx 受
#pxb 墾
pxm 艉
pxn 鏽
pxs 釵
pxt 懇
pxw 返
pxy 鍵
pyj 貂
#pyl 艋
pyz 乳
pzk 錄
qal 肺
qcq 猜
qcr 鵟
qcw 逛
qex 肢
qf; 腰
#qfb 膘
qfd 膊
#qfk 剁
qga 胚
qgy 胰
qgz 肱
#qhb 脛
qhz 肫
qij 颭
qjq 狷
#qkb 狸
#qkf 猓
qkg 胱
qkh 猥
#qkk 猖
qkm 猩
qkt 腮
qlo 颶
qnc 凰
qne 脾
#qnk 腺
qno 腴
#qnx 颼
qpr 脈
qpx 猙
qqr 鵬
qrj 狗
#qrk 脂
qrs 胝
qsp 彤
qsx 狼
#quc 騰
que 胼
#quf 猶
qug 朕
quk 滕
qul 賸
qun 馗
quw 逖
quy 勝
qwb 腔
#qwd 狩
qxw 腿
qxy 腱
qyl 猛
qyn 狒
qyx 服
qzj 胎
#qzz 朏
#ray 印
rcq 鯖
rcw 逢
#rec 駂
rer 鴇
#rfb 鰾
rfw 鰱
rfx 鱈
rgq 鮪
rgy 危
rhz 魨
rij 咎
rjg 象
rjn 雒
rjr 免
rjy 劬
rkg 潁
rkt 鰓
rlk 鰥
#rly 觔
#rmf 桀
rmg 穎
#rmh 魠
rmr 鷂
rmu 鰍
#rmw 遙
rmx 肄
rmy 卯
rok 刎
ros 匆
rot 忽
roz 匈
rsr 鴟
#rsu 灸
#rsy 邸
rwr 鴕
rxg 鴃
rxt 急
#rxy 鯽
ryr 鴛
ryt 怨
ryw 迎
rzj 鲐
#sai 証
saj 訶
sau 評
sbd 詩
sbt 誌
scq 請
#sef 謀
seo 龔
#sez 諶
#sfj 辣
sfl 親
sfp 新
sgm 產
sgp 彥
sgq 毅
sgu 詼
#shb 試
she 誡
#shy 誠
#sih 謔
#sij 站
#sjk 京
sjl 高
sjr 哀
#sjy 部
#skb 童
ske 章
#skf 臝
skh 戠
skl 讜
#skq 謂
skr 竟
skt 意
slg 端
#slo 訥
sm; 諉
#sme 許
#smh 託
#smi 詐
#smj 誥
#smk 誅
smr 詵
#smy 施
smz 誨
#snd 謝
sno 亦
snr 夜
snu 譙
#snx 謢
soc 詮
#soo 交
sop 診
sot 於
#soz 訟
spi 謕
spk 旛
#sps 訴
sqc 誑
sqm 望
srj 詻
#srk 詢
srm 謠
srn 諧
#srq 膂
srs 詆
srx 諍
#ssk 諳
ssr 襲
#sss 辯
sus 辨
suu 談
suw 謎
swf 諢
swl 誼
sxg 訣
#sxi 旋
sxr 旎
sye 訊
syh 氓
syj 詔
sys 辦
#syw 遊
#syy 詡
szo 亥
szr 充
szs 辮
szz 玄
#tai 症
tbd 痔
tbt 痣
tcq 凊
tct 憑
tek 庴
tel 席
tep 廝
teu 庶
tex 度
#tfk 凍
#tfl 廂
#tgj 痞
#tgy 痍
#thb 痙
#tih 瘧
tij 店
tir 疵
tk; 廔
#tlk 廁
tm; 痿
tmj 痴
tmk 痢
tmr 冼
#tmy 庭
tnd 府
tne 痺
tno 庾
tnx 瘦
toc 痊
ton 疥
#top 疹
#tow 冷
tpq 瘢
tr; 姿
#tra 瓷
trj 咨
trl 資
#tro 餈
trq 背
#trs 底
trt 疼
tru 癬
#try 邶
#tsc 麈
tsj 麐
#tsk 瘖
ttt 麤
tuu 痰
#txf 瘺
txj 唐
#txk 康
#txl 庸
#txo 庚
#txq 廄
tyj 痂
#tzj 冶
tzz 麼
#uai 怔
uau 怦
ubd 恃
ubk 恒
ubu 悻
#ubz 怯
#ucq 情
ucz 愫
uea 瓶
uef 煤
uek 惜
ueo 烘
uew 迸
uex 忮
#ufb 煙
#ufd 尊
#uff 慄
ufg 奠
ufl 煉
#ufp 慚
ugl 怖
ugu 恢
#ugw 送
#uhb 羥
#uhx 炬
uij 粘
ujr 炾
ujy 悒
#uka 悍
#ukf 粿
ukg 恍
ukh 煨
#ukk 普
ukm 炒
#ukq 悄
ukr 焜
uks 煜
ulg 怏
#ulj 炯
#ulk 曾
uls 愣
#ume 忤
#umh 義
#umi 炸
uml 恤
umu 愀
#umy 悸
umz 悔
unc 煌
unt 熄
unu 憔
unw 道
uol 益
#uow 羚
#uoy 粉
uoz 忪
upj 恰
upk 燔
upx 叛
uqk 前
urc 烽
urj 烙
urk 恂
urn 焰
#urs 灼
usc 炷
usj 焙
#usk 愔
usq 炕
usx 養
utb 粧
ute 料
utr 羡
uuj 善
uuu 糕
uuy 惓
uvr 羨
uwb 粽
#uwf 惲
uwr 忱
#uxb 怪
#uxe 羞
uxg 快
uxr 怩
uxs 憫
uxt 燜
uyj 炤
uyn 怫
#uyy 翔
uzj 怡
uzl 慣
uzq 朔
uzw 逆
vaj 河
val 沛
#vbk 洹
vbr 鴻
#vbz 法
vcl 漬
vcq 清
vdp 浙
veo 洪
vez 湛
#vfb 漂
#vfd 溥
#vff 溧
vfg 濡
vfp 漸
vfw 漣
#vgb 瀦
#vgd 溽
#vgq 洧
vgs 汰
#vhb 涇
vhh 淺
vhy 沏
vhz 沌
vij 沾
vik 涉
#vjj 洄
#vjo 泅
vjr 況
vjy 浥
vkg 洸
vkm 沙
#vkq 消
vkr 混
vkz 漯
vlg 湍
#vlk 測
vmg 沃
#vmj 浩
vml 洫
vmr 洗
vmu 湫
#vmy 汔
#vmz 海
vnc 湟
#vnx 溲
vom 涂
voy 汾
#vpj 洽
vpk 潘
vpm 淫
vpn 滔
vpr 派
vpx 淨
#vpy 浮
vqj 沿
#vrb 漈
vrg 頫
vrj 洛
#vrk 洵
vrl 盜
vrm 淘
#vrs 泜
vs; 瀛
#vsi 汴
vsj 涪
vsq 沆
vsx 浪
#vsy 游
vtm 泌
vtu 濂
vus 漾
vuu 淡
vvn 洲
vvr 洮
vwb 淙
