𦆁|𦝠 糸
𪐹|黑 山 乃
𦂞|夕 糹 糸
𠲾|口 勹 目
燀|火 單
𦖸|耳 凵 乂 儿 夊
𥝊|Z學X 禹
𡭇|𤰔 厶 寸 內
屉|尸 世
腋|⺼ 夜
𥬈|𥫗 人 人
𢓎|彳 一 幺
槐|木 鬼
𣍗|人 亠 凵 乂 禸 曲
𥛸|礻 𤰔 厶 心
瑙|王 巛 丿 囗 乂
𣩻|歺 衣 罒 氺
𣮤|毛 宀 示
𠇠|未 人
䋢|扌 斤 糸
蟤|虫 巳 巳 共
汩|氵 曰
鉭|金 日 一
𣧰|歹 一 内
竲|立 丷 囗 小 曰
䥻|钅 无
詽|言 干 干
𨙔|辶 垂 馬
各|夂 口
碇|石 宀 V正
𡴊|屮 一 冂 一
𩲚|𥘅 鬼
𨞃|黍 阝
蜎|虫 口 ⺼
𦖉|耳 冂 䒑 亠 𠃊
䰔|镸 彡 舟 𠘧 又 皿
骛|矛 攵 马
𣔚|月 卩 又 木
䎡|而 火
𣽚|氵 音 戈
搤|扌 䒑 八 皿
𠢧|舟 V𢍏 力
𤖰|片 HX叚
𢴪|扌 士 示 欠
圮|土 己
箱|𥫗 木 目
𨏦|車 門 隹
𣪾|𢏚 口 𠘧 又
𥛟|礻 爫 目 儿
𢂷|巿 人 一 口
蘸|艹 酉 隹 灬
伾|亻 不 一
𡏁|土 辶 囗 口
𨧡|金 尹 口
闅|門 目 攴
㑄|亻 母
𤧪|王 穴 大 丷
𥂍|口 口 犬 皿
䋋|糹 民
李|木 子
𠯑|氏 口
𢭢|扌 亻 乍
跕|𧾷 卜 口
𢱔|扌 八 刀 皿
𥦸|穴 复
噘|口 厂 䒑 屮 欠
竛|立 人 一 マ
𦑜|革 羽
𡽞|山 𧾷 卄 一 日
𢏡|弓 𠂒 儿
腢|⺼ 禺
𪗥|齒 丿 戈
𤋧|⺼ 卜 口 灬
乨|厶 口 乚
𪅦|鳥 囗 戈 口 一
𩾓|鳥 卩
铯|钅 色
㝮|宀 屮 凵 示 又
𣯭|毛 土 八 土 丸
𧠒|一 士 目 儿
巵|𠂋 巴
𧌿|片 厂 又 虫
晸|日 一 止 攵
𠫻|厶 大 凵 土
䃟|石 卄 一 ⺼ 攵
𤭮|重 瓦
賿|貝 羽 人 彡
𣴔|氵 广 干
𩱏|士 方 攵 鬲
𤱁|由 夫
𥆂|目 亻 一 士
缉|纟 口 耳
𧼛|走 木 人 人
𧌍|虫 彑 氺
肌|⺼ 几
䦒|門 石
𣻯|匕 頁 水
𨜘|尸 至 阝
㚘|夫 夫
𩵮|小 丿 魚
餝|飠 艹 方
𧇱|虍 儿 丿 戈 一 口
䘣|衤 止 匕
憢|忄 土 土 土 一 儿
𠼩|口 山 人 一 𠕁
𢺨|扌 春 虫 虫
催|亻 山 隹
縳|糹 𤰔 厶 寸
𦶟|⺾ 扌 丸 灬
莶|艹 人 一 Z兴X
𢜹|囗 𠂇 月 心
䢼|共 阝
顇|亠 人 人 十 頁
𨥶|金 亻 弋
䅍|禾 廴 丿 土
惌|宀 夕 㔾 心
𥔃|石 丿 戈 一 女
𢧒|丿 戈 人 一 乛 口
取|耳 又
𣣎|𠫓 ⺼ 欠
祝|礻 口 儿
𡣜|女 厂 乛 耳 攵
𦠯|⺼ 門 木
苠|艹 民
𢙣|襾 心
𧦧|言 𠂉 也
䯦|骨 艹 罒 戈 人
𡅭|口 門 幺 幺 丱
𤳊|巛 田 幷
魱|魚 互
𣺩|䒑 屮 月 水
䁷|Z學X 目
揶|扌 耳 阝
𧩸|言 人 一 口 廾
𨕾|辶 疒 矢
𢣼|忄 宀 Z祭X 示
𣊁|士 方 攵 日
匀|勹 冫
瞃|目 𠂆 十 目
适|辶 V𠯑
𠘎|冫 人 一 囗 小 曰
𢪑|扌 旡
䬐|風 禾 女
澓|氵 彳 复
蠒|爾 虫
𤖯|片 不
醗|酉 発
㸞|片 片
挠|扌 L戈X 一 儿
𠞣|𠀎 冉 刂
𪀢|亻 犬 鳥
䒥|艹 一 巾
𩈇|面 丑
覧|臣 人 丶 目 儿
𧆆|艹 礻 龠
𩆮|雨 口 口 犬 口 口
𡬰|⺼ 寸 尸 ㇏
㾳|疒 二 欠 女
堲|V皀 卩 土
粵|V宷 一 丂
鴴|彳 一 一 亅 鳥
𪆷|金 且 鳥
𨲵|镸 亠 囗 口 日 一
𩽺|鱼 夫
𦴴|艹 氵 宀 女
𧱡|豕 穴 工
灂|氵 爫 罒 V皀 寸
𡓅|土 艹 阝 人 一 乛 二 厶
𥆷|目 𠬶
姇|亻 寸 女
黉|V兴 黄
𤬍|V⺼ 缶 瓜
𢭐|扌 ッ 冖 力
桒|十 廾 木
燗|火 門 月
鉖|金 夂 ⺀
𦇄|糹 田 田 田
𩯤|镸 彡 亠 囗 口 日 一
𢓥|彳 光
䕤|艹 單 阝
槧|車 斤 木
試|言 弋 工
𩢽|工 几 丶 馬
鏫|金 禾 刂 木
𧤼|角 厂 䒑 屮 欠
𧁩|艹 禾 鬼
𩻇|谷 欠 魚
㡲|广 戈
絴|糹 羊
𠇷|亻 生
䛹|言 彑 𧰨
𤜕|士 冖 牛 襾 木 目
读|讠 十 乛 头
𣸾|氵 卜 口 灬
𤵫|疒 示
𩗉|風 乂 木
𦋁|罒 日 干
𡖄|夕 𠁡
媆|女 而 大
龈|齿 艮
𩑺|冉 頁
怍|忄 乍
𨁂|𧾷 大 人 人
𠶔|口 忄 又 土
犖|𤇾 牛
𡠝|王 目 儿 女
𨑊|夕 夕 曲 辰
崟|山 金
舡|舟 工
𥨾|穴 立 木 目 儿
𩰲|弓 弓 鬲
𢖤|彳 日 V正 頁
檦|木 襾 示 刂
甯|宀 心 用
𧘟|衤 巿
𠊶|亻 V𢍏 女
䞸|走 示 口
蒺|艹 疒 矢
𢠽|忄 象
洿|氵 大 一 丂
剁|几 木 刂
靃|雨 隹 隹
𥯢|𥫗 N高X 一 亅
㫆|方 人 小
翈|甲 羽
𠕏|冂 丷 匸
𥅌|中 一 目
䩑|革 弓
轓|車 釆 田
𨳴|門 尔
𣧸|歹 二 欠
哚|口 几 木
駜|馬 必
㵟|氵 彳 HX微
扡|扌 也
𧫑|言 𥫗 及
𤕭|爿 又
𠿨|口 H倝X 人 干
䳪|山 而 鳥
𣿓|氵 罒 非
𨨿|金 穴 人 又
𥽳|Z學X 口 耳
鱵|魚 𥫗 丿 戈 一 口
𨒨|辶 亥
擺|扌 罒 厶 ⺼ 匕 匕
𥵔|𥫗 石 卑
𨨮|金 弓 𠂉 小
𡜂|氵 一 丂 女
𣎅|月 曰 勹 𠃊 人
𨇗|𧾷 厂 禾 禾 止
鴆|冘 鳥
𧚨|衤 疌
𦉖|缶 𠂹 土
䘌|匸 艹 𠂇 口 虫 虫
抏|扌 二 儿
𥸯|米 一 ZX方
写|冖 与
𣶮|氵 厂 䒑 屮
縜|糹 口 貝
𡪟|宀 忄 音
𪂌|水 日 鳥
𩓹|大 电 頁
肣|⺼ 人 一 乛
𢜢|忄 彳 皮
𦒇|𠃬 𠘧 又 羽
𧂰|艹 V㶳 貝
䦩|門 目 夂
𡘬|勹 日 夨
𣊯|日 雨 二 厶
鰰|魚 礻 申
𩑾|氏 一 頁
䔶|艹 扌 日 V正
憹|忄 曲 辰
𢪿|十 口 手
僃|亻 艹 勹 用
絆|糹 半
𡧉|宀 一 儿
𣶍|氵 爿 犬
蟍|虫 禾 刂 木
𢙌|屮 一 土 心
𨴹|門 耂 子
䣓|鬲 阝
𡕖|夂 V扌
𣇙|白 儿 日
鍚|金 日 一 勿
䑠|舟 了
惣|牜 勿 心
𩧧|马 立
𠵦|五 口 𠂉 十
𢧩|戈 鬼
譪|言 艹 曰 勹 𠃊 人
埭|土 隶
籰|𥫗 目 目 隹 又
𡣳|女 十 戈 韭
𩍪|革 羽 隹
𤘿|北 牛
蛷|虫 求
㫭|日 士 寸
𪍺|麥 罒 一 口 𧘇
俽|亻 斤 欠
𦏫|羊 亠 囗 口 日 一 毛
𥀔|鹿 皮
甁|幷 瓦
𧥁|角 刀 牛 V宀 口
銄|金 V宀 口
㸇|火 夫 夫 貝
𪐋|黍 兼
宊|宀 犬
𨅬|𧾷 门 束 丷
洑|氵 亻 犬
𤮙|虍 一 口 䒑 瓦
𥲋|𥫗 彳 一 一 亅 玄
𩯂|镸 彡 V皀 旡
誔|言 廴 丿 土
尛|小 小 小
玚|𤣩 𠃓
𠔡|其 八 刀
茥|艹 土 土
𪊤|鹿 工 コ
琫|王 Z春X V扌
殪|歹 士 冖 一 口 䒑
醮|酉 隹 灬
㴱|氵 穴 大 丷
𧕉|虫 爫 幺 大 谷
媴|女 土 口 𧘇
氻|氵 力
𠎺|亻 山 鬼
覾|宀 釆 田 目 儿
𥾡|糹 勹 二
𩟊|飠 曲 辰
狄|犭 火
𠑋|傘 王 廾
㯊|木 一 止 ZX焉
𩪣|骨 音 心
艏|舟 首
𪇎|木 木 示 鳥
䭕|車 斤 食
櫔|木 厂 艹 禺
𥌱|Z夢X 目 民
郘|口 丿 口 阝
㱛|歹 歹
𧯻|十 一 口 䒑 不 口
姞|女 士 口
𦅑|糹 彳 𠂆 十 目
𩤝|馬 矛 攵
捥|扌 宀 夕 㔾
𠋤|亻 宀 至
裨|衤 卑
𥾫|糹 丰
副|一 口 田 刂
燮|火 火 言 又
𥎩|止 矢
𨏒|車 石 石 石
𡭵|龸 甲
㫴|日 耂 子
腹|⺼ 复
𥹾|米 夂 丰
䩿|革 十 廾 貝
槾|木 曰 罒 又
𣮀|禾 刂 毛
𡰆|尢 自 木
㢉|广 禾 乇
夈|夂 米
斋|文 而
騊|馬 勹 缶
𪚍|齒 齒 V羊 工
𦤳|一 厶 龶
㐖|士 口 乚
𨹃|阝 乃 木
焘|丰 寸 灬
𡶛|山 卜 一 卜
𤬮|一 幺 瓦
庝|广 夂 ⺀
鮟|魚 宀 女
𤡏|犭 镸 攵
𦞱|肉 鬼
𧿚|𧾷 八 刀
𤤇|王 一 大
𢰦|扌 春
椨|木 广 亻 寸
㖫|口 土 八 夊
皭|白 爫 罒 V皀 寸
霬|雨 田 共
𥐻|石 冂 乂
䈺|𥫗 糹 夂 ⺀
溽|氵 辰 寸
輼|車 日 皿
铁|钅 丿 夫
𤥡|𤣩 𠫓 廾
𢲊|扌 艹 力 力 力
𣲷|氵 囗 又
㥈|巾 卜 口 心
穊|禾 V皀 旡
𠛍|方 刂
𨱣|镸 又 又
䏏|⺼ 于
𥿦|糹 舟
賑|貝 辰
𧮹|谷 由 丂
𩨸|骨 屮 凵
𡉚|屮 一 土
㻝|王 束 刂
彜|彑 米 八 刀 廾
篟|𥫗 亻 青
類|米 頁 犬
𪓡|大 口 黽
𩍂|阝 勹 缶 革
𧮐|阝 爫 工 彐 心 言
𠩪|厂 朿 刂
睬|目 爫 木
𡏯|土 貝 攵
峱|犭 丑 山
𤕩|木 木 爻 𠬜
駳|馬 廴 丿 止
𣢒|小 丿 欠
𩰕|八 鬥 臼 儿
𢉺|P鹿X 且
潼|氵 立 里
𩖀|夫 目 目 頁
𣄃|方 其
𦟪|⺼ 辶 車
爅|火 黑 土
𩑣|尢 丶 頁
𨊖|身 尸 婁
𠞌|𠫓 V川 口 刂
䂎|矛 𠂒 儿 𠂒 儿 貝
𥝛|禾 大
趐|走 羽
樕|木 束 欠
圗|囗 厶 十 囗 丨 𠄠 丨
𤞘|犭 亻 一 士
這|辶 言
𨧅|金 士 𠃜
㾜|疒 大 人 人
碞|口 口 口 石
𪖠|鼻 刀 口
𠈥|亻 冎
伧|亻 人 㔾
蠩|虫 言 耂 日
𤌊|宀 辛 灬
嶰|山 角 刀 牛
麲|麥 目 儿
㨵|扌 䒑 月 刂 刀
𨢆|酉 又 又 又 木
朷|木 刀
𥄇|氏 目
𥻋|米 舛 八
𩛴|飠 口 木
痀|疒 勹 口
𡽇|山 艹 禺
塉|土 脊
𩷍|魚 彳 𠘧 又
蕋|艹 止 止 止
𣜣|口 口 口 木 冘
𢃎|巾 戈 口 一
淐|氵 日 曰
㝗|宀 丶 艮
灙|氵 ⺌ 冂 口 黑
𧭎|言 亻 业 䒑 夫
𩈦|面 免
𢜒|人 一 𠕁 心
𠗠|冫 子 皿
𩊛|革 𠂊 厂 㔾
䛢|言 禾 儿
菤|艹 V𢍏 㔾
𢽧|V用 口 攴
𦳶|艹 亠 𠃊 虫
桩|木 广 土
啫|口 耂 日
𩪦|骨 阝 𠂇 工 𠂇 工
陭|阝 大 一 亅 口
𥋓|目 日 Z亯X 小
㷰|火 亠 凵 乂 禸
绲|纟 日 匕 匕
𠁹|中 V𢍱 与
𩇕|青 彡
䵻|鼎 丰 丰 彐
蹽|𧾷 大 丷 日 小
倄|亻 乂 𠂇 ⺼
粇|米 亠 几
𠽖|口 辶 豕
𢖍|彳 一 一 亅 魚
茎|艹 V巠
𣨂|歹 至
䠔|𧾷 㒸
𡒗|氵 㒼 土
𤩘|𤣩 王 東
麛|鹿 弓 耳
𣄚|方 辶 㒸
𦛛|⺼ 辛
𧼄|走 亻 乍
䞡|走 日 一
𤝣|犭 氷
𨥚|金 一 巾
怤|亻 寸 心
𠲧|口 弋 工
𢤪|忄 穴 辶 㒸
匮|匚 中 一 贝
羱|羊 厂 白 小
𩒉|人 彡 頁
𦢲|⺼ 艹 Z無X 灬
𡠴|女 囪 心
𢒷|彡 頁 立 口
舸|舟 一 亅 口
𤤙|玉 世
䬾|飠 丷 弔 丿
𡟁|女 十 口 攵
𣿡|氵 魚 又
𣘊|木 彳 走
釅|酉 口 口 厂 乛 耳 攵
𣁄|文 牛
𥹠|米 夕 夕
䛋|言 丿 戈
𣽋|氵 目 𠂒 口
𧫣|束 攵 言
𩭈|镸 彡 一 自
捎|扌 ⺌ ⺼
𠿑|口 丿 戈 一 口 心
𥘹|礻 工 コ
𩵢|魚 欠
觕|牜 角
剘|其 刂
绛|纟 夂 㐄
𡭞|小 火
𢟡|忄 亻 艹 勹 用
蕢|艹 中 一 貝
𪇥|鳥 方 人 其
䩨|革 長
𡛫|女 疋
郯|火 火 阝
𣍮|月 䒑 屮
姵|女 HX佩
𩴿|女 口 鬼 鬼
𥉨|目 彡 目 儿
扸|扌 片
𠻻|口 門 才
裿|衤 大 一 亅 口
喂|口 田 ZX畏
𣮗|毛 丆 囗 口
笉|𥫗 勹 二
𡪈|宀 其 土
𩠖|犮 巛 一 自
蒌|艹 米 女
𧲙|豕 雨 口 口 口
䶒|齊 女
𨣯|酉 冖 鼎
𦾑|艹 襾 示 刂
𨵗|門 土 土 卜
𣊘|日 魚
鴝|勹 口 鳥
䈣|𥫗 一 止 攵
斢|黃 斗
𨟇|魚 日 阝
𦙰|⺼ 亻 士
𠬩|𠃜 又
𢪨|扌 冖 几
咬|口 亠 父
𥌜|目 鹿 灬
稳|禾 𠂊 彐 心
𡶲|山 几 木
𣞟|厶 口 木 十 Z具X 八
𨝌|H倝X 人 乙 阝
螶|工 コ 虫 虫
𤇵|宀 夕 火
𩐞|夕 夕 音
䲼|生 鳥
𡉃|土 厂
㗂|口 小 丿 目
𩳷|鬼 韋
鱇|魚 广 隶
䕍|艹 衣 冂 八 口
擌|扌 𥫗 大 人 人
𠩓|厂 兆
𢷒|扌 立 曰 勹 𠃊 人
𧡐|矢 口 目 儿
埖|土 艹 亻 𠤎
絝|糹 大 一 丂
𡳜|尸 毛 禾 子
𤼤|疒 罒 大 罒 大 罒 大
蛠|虫 力 力 力
𢉣|广 亻 口 木
俦|亻 丰 寸
𥗽|石 臣 人 丶 目 儿
𨀦|𧾷 丰 刀
𡕭|囗 口 口 夊
㓬|V𢍏 刀 刂
齱|齒 耳 又
𦒩|巤 羽
𥣒|禾 人 一 月 刂 心
𩃿|雨 𢑚
𤑷|火 門 大 电
柶|木 囗 儿
𣱕|气 刀
𣍾|月 雨
𠵽|口 氵 土 厶
㚁|土 土 土 一 儿 土 土 土 一 儿
圀|囗 八 方
玃|犭 目 目 隹 又
鐂|金 丣 田
𠈎|亻 𡖈
𢺑|扌 𦝠 羊
伐|亻 戈
殓|歹 人 一 Z兴X
谒|讠 曰 勹 𠃊 人
閗|門 斗
𧮡|言 穴 士 罒 貝
𧰮|日 豕
𤭛|冂 䒑 山 瓦
㨞|扌 Z青X 糸
朠|月 艹 央
𪐢|黑 土
䂥|石 民
趧|走 日 V正
𨃦|𧾷 丿 大 十 廾
𩖳|風 之
𦧜|舌 吏
𡼰|山 山 口 口 一 丂
㮳|木 月 䒑 一 大
尲|尢 兼
碵|石 卜 貝
餴|飠 大 十 廾
𪖷|鼻 羽 人 彡
𣜴|木 人 一 月 刂 心
㝀|母 子
瑂|王 𠃜 目
𡃅|口 𤇾 玉
巇|山 虍 一 口 䒑 戈
髉|骨 隺
𦠶|走 刀 口 肉
𥝣|禾 不
𩲌|方 鬼
𤥓|人 一 口 玉
𤲹|田 弓 二 弓 二
汒|氵 亠 𠃊
𠣕|勹 丶 王
𣠏|厶 口 木 冂 二 耳 又
痗|疒 𠂉 母
陖|阝 厶 儿 夊
𨆻|氵 㒼 足
𧗤|彳 一 一 亅 丿 十
𩤺|臾 馬
𢃥|臣 又 巾
䅤|禾 干 臼
淧|氵 宀 必
蹦|𧾷 山 月 月
韫|韦 日 皿
𣫦|車 凵 𠘧 又 虍 夊 几
𩹩|魚 艹 巿
㱲|歹 䒑 八 皿
祴|礻 戈 廾
𠗷|冫 V良 阝
䋹|糹 一 口 田
迻|辶 夕 夕
𦐾|束 羽
𧻚|走 二 曰
𩂔|雨 犮
𡆄|口 口 耳 耳 耳
庆|广 大
鮈|魚 勹 口
𢜋|扌 卜 口 心
損|扌 口 貝
𤇬|止 匕 火
𠦔|𠦃 一
皖|白 宀 二 儿
𡰝|尢 卝 隹 口 口
䘛|衤 几
够|勹 口 夕 夕
蘡|艹 貝 貝 女
𦦚|臾 臾
𢆤|V𢍏 㔾 年
𦁀|糹 貝
溦|氵 HX微
𦰪|艹 氵 囗 人
𥁆|牙 皿
㐭|亠 囗 口
焯|火 卜 日 十
㓉|冫 舌
𨣲|酉 十 戈 韭
𠚶|扌 刂
䎸|耳 五 口
肺|⺼ 巿
𢰽|扌 𠂊 彐 心
𦧋|舌 牛
椿|木 春
𤷴|疒 亻 衣
噁|口 亞 心
𡼡|山 黑
鍃|金 勿 心
𣺠|氵 貝 才
篈|𥫗 土 土 寸
𩹂|魚 田 ⺼
𥨣|穴 雋
譓|言 𤰔 厶 心
𡏘|土 一 自 夊
僚|亻 大 丷 日 小
鷜|婁 鳥
㥟|忄 彑 𧰨
晡|日 甫
𪍣|麥 婁
𩓺|日 火 頁
𨅐|Z無X 灬 足
䣪|酉 巿
𦗓|耳 鹿
孳|䒑 幺 幺 子
𩡵|卂 馬
𣵿|氵 亻 口 V川
惺|忄 日 生
𦸫|艹 日 丷 弔 丿
𡬂|宀 一 口 田 貝 刂
㾅|疒 𠂔
鄆|冖 車 阝
𣡖|Z囊X 石 非 木
䨌|雨 二 儿
溏|氵 广 肀 口
𤲬|田 而 大
𤡇|犭 N高X 毛
𠌒|亻 虫 文
𢞕|忄 隺
𧵘|貝 冉
嶙|山 米 舛
爜|火 业 丷 干 耳 又
𡚟|大 HX漢 隹
𪈄|辶 矛 冂 八 口 鳥
貣|弋 貝
𢬢|扌 口 巾
𨺇|阝 疌
𪄦|鳥 艹 人 朩
䖩|虫 必
𩋝|革 巛 田
𦴆|艹 耂 勹 口
𦈳|氵 也 缶
㺯|王 大
逰|辶 扌 𠂉 子
䤶|金 大 电
涹|氵 禾 女
𧺴|走 𠂉 十
𠈼|亻 䒑 𠬞
𤂴|氵 虍 业 戈
峃|V兴 山
煆|火 叚
𡗉|土 土 土 一 儿 夕 夕
词|讠 𠃌 一 口
𢩌|戶 肉
𣬹|人 一 マ 毛
䓓|艹 丰 寸
𩊏|革 力 口
𡥖|亻 弋 子
㷙|火 䒑 月 刂
𦋽|罒 糹 且
齚|齒 乍
𧘻|衤 斤
䡠|車 卜 貝
泣|氵 立
𧍔|虫 襾 女
𠅦|亠 免 力
𢗩|丿 土 心
蝪|虫 日 一 勿
寭|宀 𤰔 厶 心
𥒼|石 止 𣥂
𧖐|虫 臣 人 丶 目 儿
灰|𠂇 火
𡓳|土 耳 耳 耳
𥒞|石 羊
諷|言 風
𦕨|耳 艮
𩎾|韋 广 勹 巳
䏽|⺼ 立 口
𣧫|歹 乍
礁|石 隹 灬
𡢀|女 巳 巳 共
麄|八 刀 鹿
𣈇|不 日 月
垊|土 民
愑|忄 マ 用 力
蚔|虫 氏
倛|亻 其
羚|羊 人 一 マ
𩅩|雨 厂 禾 禾
𢢠|阝 𠂇 工 𠂇 工 心
輥|車 日 匕 匕
𨑇|襾 辰
𥅰|十 戈 目
砫|石 丶 王
枪|木 人 㔾
𣗳|木 一 口 䒑 寸
鶮|高 鳥
𣄱|旡 土 土
𩉲|革 攴
嚴|口 口 厂 乛 耳 攵
总|丷 口 心
薾|艹 爾
𣳃|氵 七 士
彅|弓 䒑 月 刂 刀
组|纟 且
𨹛|阝 方 土
𥵍|𥫗 犭 丿 㠯 一 巾
𠡋|冂 口 力
㟊|山 爫 子
𧂣|艹 士 冂 一 𠘧 又 禾
蹏|𧾷 𠂆 虍 儿
𧳌|豸 禾 儿
𨴅|門 𠂎 卩
䝕|豕 耳 耳 耳
曔|日 卝 勹 口 攵
𤵸|疒 夂 㐄
鳘|𠂉 母 攵 鱼
𣁛|未 攵 厂 攵
𪓐|黹 虍 且
嗞|口 䒑 幺 幺
𨹺|阝 丿 㠯 十
潥|氵 襾 米
𠻤|口 宀 一 由 八
蓨|艹 亻 丨 攵 ⺼
𥴦|𥫗 辶 㒸
幯|巾 𥫗 V皀 卩
緮|糹 复
𧢴|角 一 亅
𣗒|木 金 十
𡝵|女 亠 人 人 十
㛴|女 巛 丿 囗 乂
赹|走 勹 二
䙿|未 目 儿
旾|屯 日
𥠁|禾 冎 口
𣦀|艹 二 厶 止
㒉|亻 ⺌ 冂 口 木
唈|口 邑
榋|木 彐 彐 彐
阊|门 日 曰
𩴃|鬼 𠂊 彐 心
𧪂|言 勹 日 子
㠖|山 𦍌 我
紘|糹 𠂇 厶
𪄮|雨 一 丂 鳥
劝|又 力
鞟|革 Z亯X 子
𨶱|門 艹 ZX華
𦰰|艹 女 勹 口
攨|扌 穴 瓜 瓜 瓜
㦫|忄 𠂒 儿 𠂒 儿 貝
𪘪|齒 戈 戈
窭|穴 米 女
𩬬|镸 彡 皿
𥐉|矢 矢 一 口 䒑
𠴸|氵 皮 口
𢆻|幺 幺 几
𤸺|疒 亥 欠
抽|扌 由
茼|艹 冂 一 口
飁|羽 白 風
𧚊|衤 耳 乚
𩻠|魚 曰 罒 一 ZX方
㕈|厂 衣
癊|疒 阝 人 一 乛 二 厶
𠫍|厂 貝 貝 貝
俏|亻 ⺌ ⺼
胑|⺼ 口 八
𦆉|糹 P鹿X ZX焉
𧥥|巛 言
𡹚|木 木 山
𣋝|日 口 口 口 木
矟|矛 ⺌ ⺼
鑞|金 巤
𤀑|氵 宀 必 冉
𠙪|丿 大 口 冂 口 几
筬|𥫗 丿 戈 𠃌
𡿯|曰 巛
僱|亻 戶 隹
闳|门 𠂇 厶
𦊒|罒 勹 口
𩋨|革 一 口 田
𢹺|扌 𥫗 單
𧞞|衤 厶 ⺼ 匕 匕 灬
捼|扌 禾 女
𠟿|V巢 刀
𪑾|黑 辰 寸
馀|饣 入 一 朩
𣴃|氵 亥
縅|糹 丿 戈 一 女
𤒦|火 人 一 口 口 人 人 攵
𠮌|又 又 又 又 𠂊 臼
䲎|魚 乛 耳 攵
膐|方 人 𧘇 肉
昕|日 斤
𤡯|犭 臼 ZX焉
嬗|女 亠 囗 口 日 一
鰙|魚 艹 𠂇 口
𦏅|羊 厂 䒑 屮 欠
𣎜|月 黽
璞|王 业 䒑 夫
𨝱|隹 灬 阝
𠸥|口 言 十
䌧|糹 士 乛 工 一 口 寸
萩|艹 禾 火
𨵆|門 丿 糸
𡲮|尸 丿 囗 乂 匕 匕
冰|冫 水
銲|金 日 干
㘵|土 𠂇 巾
欷|乂 𠂇 巾 欠
𤡈|犭 言 𠂉 十
𧹓|贝 口 王
𠒾|免 Z青X 毋
秀|禾 乃
𧿡|𧾷 犬
𥱷|𥫗 人 一 乛 貝
呉|口 V夨
𧟍|衤 罒 厶 ⺼ 匕 匕 灬
襋|衤 朿 朿
𧿶|𧾷 𠂉 也
懐|忄 亠 罒 衣
𤪢|王 車 口 𠘧 又
㭗|木 皿
籙|𥫗 金 彑 氺
𨾤|丿 夫 隹
𠧠|𠃊 卜 囗 コ
䫢|𠂆 虍 儿 頁
迤|辶 𠂉 也
𢍧|罒 衣 廾
摩|麻 手
奫|大 氵 𣶒
驭|马 又
𨬏|金 禾 𠚣 木
𨄽|𧾷 阝 𠂊 臼
𣇰|日 木 木
狲|犭 子 小
𥁿|冫 人 一 口 皿
𠱹|口 扌 乇
𧯕|谷 卜 冂 一 八 人 目
䅻|禾 亠 凵 乂 禸
𧏾|匸 艹 𠂇 口 虫
艽|艹 九
𤚪|牜 丿 囗 乂 匕 匕
射|身 寸
炇|火 攵
𤼀|疒 魚 禾
𩨭|骨 宀 匕
𡔊|Z亯X 日 羊 ⺄ V扌 土
𩧳|马 舟
輎|車 ⺌ ⺼
𪎑|麻 几
𥱩|𥫗 土 丷 干 人
𨰂|金 艹 P鹿X ZX焉
𨂞|足 䒑 业
䐔|⺼ 戶 𠕁
𡢗|𦥑 丿 囗 乂 女
銛|金 V𠯑
㴚|氵 㒸
𨳛|門 及
𦁡|糹 止 人 卜
䮡|馬 复
氤|气 囗 大
𤿝|卜 口 皮
𩦟|馬 艹 癶 一 大
𢔪|彳 耂 日
𥔳|士 冂 一 𠘧 又 石
弮|V𢍏 弓
玱|王 人 㔾
𣊲|日 Z無X 灬
踸|𧾷 甘 匸 八
𦀳|糹 丰 寸
𧾋|走 厶 厶 厶 人 㣺
䜾|一 口 䒑 音
𨀊|𧾷 乃 子
鷅|襾 木 鳥
㱄|黑 欠
𩗚|風 亻 丨 攵
䫋|禾 女 頁
𩃣|雨 亠 人 人 十
潎|氵 㡀 攵
藕|艹 耒 禺
幘|巾 Z青X 貝
狛|犭 白
𧐥|虫 扌 疌
𤄻|氵 𦦉 㔾
𡝞|⺼ 巴 女
𢯡|扌 𠫓 ⺼
𣚑|木 𢏚 口
襢|衤 亠 囗 口 日 一
𥜐|礻 黽
𤙨|牜 束
𡫫|文 口 宀 一 由 八
鳯|几 鳥
㽮|田 田 田 生
嗵|口 辶 マ 用
湸|氵 N高X 儿
𠋻|亻 田 儿 夊
𨉍|身 白 八
𧓯|虫 亻 爲
蓿|艹 宀 亻 一 白
如|女 口
𨶗|門 氵 丶 艮
眉|𠃜 目
𡚈|䒑 业 日 一 大
袌|衣 勹 巳
𪘓|亻 𠂇 工 齒
䆒|穴 丸
𦋯|罒 瓜 瓜
𦬘|艹 八 厶
㺘|犭 隹 灬
鄝|羽 人 彡 阝
𤸣|疒 𡸁
榢|木 宀 豕
𤰓|一 田
𨱰|镸 弗
𠜩|𡉵 刂
𢚨|亻 一 亅 口 心
墬|阝 彑 𧰨 土
𧖕|丿 囗 乂 匕 匕 虫 虫 虫
瘳|疒 羽 人 彡
𡆲|囗 亠 𠃊
𨆟|𧾷 艹 重
讶|讠 牙
𢼹|甫 攴
䂼|石 人 一 乛 心
𡹃|山 土 八 夊
㧂|戶 田
𧛷|衤 十 戈 口
遇|辶 禺
𧼠|走 卑
𦩍|舟 V用 口
䥍|土 丷 干 丸 金
棌|木 爫 木
𤯌|麻 甘
𢇒|丿 戈 一 幺 幺 卜 乙
寖|宀 氵 HX侵
𥢥|禾 丷 囗 小 曰
𣫰|母 巴
