𦆁|𦝠 糸
𧿐|𧾷 丿 十
婦|女 彐 冖 巾
绩|纟 Z青X 贝
𩓭|彡 頁 不 一
䏫|⺼ 亻 木
𤳦|田 田 田 大
𠃭|爫 口 乚
𩁕|V𢍱 与 隹
牶|V𢍏 牛
雹|雨 勹 巳
㝸|小 白 儿
寻|彐 寸
𡣽|女 門 𠂊 臼
𥺔|口 欠 米
𢈁|广 人 一 口
𠽔|口 V疋 束
誆|言 匚 王
侈|亻 夕 夕
甏|十 一 口 䒑 彡 瓦
𣟬|木 門 東
㨑|扌 凵 乂 儿 夊
𥍯|矛 𠬶
𪊖|鹿 勿
枘|木 內
𧃮|艹 火 米 舛
𨠛|酉 瓦
负|𠂊 贝
刡|民 刂
𩱱|弓 弓 鬲 𠂉 母 𠫓 V川
𡜣|女 巛 工
羨|𦍌 氵 欠
𤍆|火 車 一 儿
㲪|癶 一 口 䒑 毛
𠆬|亻 一 𠀁
𪔯|鼓 丿 戈 卜 一 小
𦪜|舟 厶 厶 厶 人 㣺
樱|木 贝 贝 女
𢼳|匚 王 攵
𤝈|犭 𠘧 又
鞸|革 畢
咺|口 二 曰
𡦼|宀 人
艁|舟 𠂒 口
䝃|一 口 䒑 日 幺 幺 灬
𤝷|犭 夂 㐄
𧣍|角 冖 几
泊|氵 白
𩐣|音 光
驑|馬 丣 田
𨁹|𧾷 火 火
当|⺌ 彐
𨆄|𧾷 木 木 疋
𥜥|礻 北 田 共
蓚|艹 亻 丨 攵 彡
䧜|阝 广 肀 口
𠻞|口 广 隶
督|卜 一 小 又 目
㑥|亻 日 勿
𥍐|目 艹 幺 白 幺 木
鳪|卜 鳥
懬|广 黃 心
𧯆|谷 宀 丰 口
𢛮|牜 攵 心
轳|车 卜 尸
䱵|魚 八 厶 羽
𡅷|口 言 𦍌 我
𧓕|東 虫 虫
𦣾|自 一 儿
秼|禾 丿 未
㻾|雍 玉
𠐀|亻 𠂆 虍 儿 欠
𢂃|巾 乍
䴆|业 䒑 夫 鳥
榉|木 Z兴X 八 V扌
𦌭|罒 馬 中
阌|门 爫 冖 又
𨠧|耳 酉
𡰐|虍 业 尢 丶
㢓|广 音 十
𩔂|彑 𧰨 頁
攖|扌 貝 貝 女
膙|⺼ 弓 厶 虫
𤖮|片 勹 厶
㐠|爫 子 乚 乙
傣|亻 Z春X 氺
𨗨|辶 艹 韋
紦|糹 巴
馩|禾 日 十 廾 貝
𢞭|V卯 田 心
䰰|雨 而 鬼
梳|木 𠫓 V川
锶|钅 田 心
𦼵|艹 曰 勹 𠃊 人 毛
㾽|疒 辶 丿 㠯
𦚋|罒 月
摀|扌 Q烏X 灬
胃|田 ⺼
𩤊|馬 戈 戈
𠻇|口 木 曳
埍|土 口 ⺼
籐|𥫗 V𣎌 氺
飓|风 Z具X 八
𧡢|宀 二 曰 目 儿
𢛗|忄 V𢍏 力
𡒸|土 尸 丷 囗 小 曰
𥳥|𥫗 宀 心 用
䍚|罒 丶 艮
濝|氵 其 糸
𣵤|氵 亻 日 一
鑠|金 幺 白 幺 木
𡉤|不 土
㻧|王 舛 木
孪|V亦 子
蟭|虫 隹 灬
𦪓|舟 肅
𩪼|骨 卝 隹 口 口
𥲄|𥫗 氵 火 火
𨴒|門 丰 刀
𨱴|镸 夂 口
𧗧|彳 一 一 亅 日
囷|囗 禾
獺|犭 束 𠂊 貝
𩿽|𠂉 也 鳥
𨞮|耳 又 亻 亻 人 邑
𧑪|釆 田 虫
䊄|工 几 丶 米
琋|王 乂 𠂇 巾
變|糹 糸 言 攵
𡆎|單 亠 囗 口 日 一
㬕|日 礻 羊
媔|女 面
𧥪|言 𡕒
谛|讠 亠 丷 冖
𪎚|麻 手
𠨟|釆 大 㔾
𢦞|戈 爪
匥|匚 厶 廾
犤|牜 罒 厶 ⺼ 匕 匕
𨍰|車 土 厶 皿
𪐫|黑 攵
𦧆|舌 一
𢈯|广 身
䆮|穴 氵 HX侵
𤁲|氵 彳 𠫓 ⺼ 攵
欵|匕 矢 欠
誴|言 宀 示
𣩠|歹 其 斤
𡂸|口 丷 酉 大 阝
𥭎|𥫗 氵 亠 𠃊
㨿|扌 虍 夊 几
妾|立 女
𥟥|禾 戈 戈
荅|艹 人 一 口
𧧷|言 求
𦘠|聿 耂 日
𠥉|匚 卑
𩍍|革 單
剏|并 刄
燎|火 大 丷 日 小
魕|鬼 丿 戈 一 幺 幺
𩽸|魚 飠 土 土 土 一 儿
𢅙|巾 朿 貝
䃘|石 臣 又 土
𦄢|糹 庸
𧗎|艹 氵 且 丿 皿
機|木 丿 戈 一 幺 幺
觞|角 𠂉 𠃓
𥱺|𥫗 襾 大 㔾
𨲧|镸 彳 HX從
𣣐|艹 巿 欠
㥩|忄 耂 日
壨|田 田 田 田 土
良|丶 艮
𪇮|广 里 八 土 鳥
𠡳|丆 囗 口 力
𢿲|土 土 土 一 儿 攵
𧗿|彳 一 一 亅 率
